segment,step,move_frame,before,target,after,request,error,flags,side_hit,callback_frame
7,4,15986,"-1.3375|6.3800|-2.8000","-1.1833|6.4300|-2.8000","-1.1833|6.3800|-2.8000",0.1542,0.0500,"Below","",-1
7,5,15987,"-1.1833|6.3800|-2.8000","-1.0292|6.4300|-2.8000","-1.0292|6.3800|-2.8000",0.1542,0.0500,"Below","",-1
7,6,15988,"-1.0292|6.3800|-2.8000","-0.8750|6.4300|-2.8000","-0.8750|6.3800|-2.8000",0.1542,0.0500,"Below","",-1
7,7,15989,"-0.8750|6.3800|-2.8000","-0.7208|6.4300|-2.8000","-0.7208|6.3800|-2.8000",0.1542,0.0500,"Below","",-1
7,8,15990,"-0.7208|6.3800|-2.8000","-0.5667|6.4300|-2.8000","-0.5667|6.3800|-2.8000",0.1542,0.0500,"Below","",-1
7,9,15991,"-0.5667|6.3800|-2.8000","-0.4125|6.4300|-2.8000","-0.4125|6.3800|-2.8000",0.1542,0.0500,"Below","",-1
7,10,15992,"-0.4125|6.3800|-2.8000","-0.2583|6.4300|-2.8000","-0.2583|6.3800|-2.8000",0.1542,0.0500,"Below","",-1
7,11,15993,"-0.2583|6.3800|-2.8000","-0.1042|6.4300|-2.8000","-0.1042|6.3800|-2.8000",0.1542,0.0500,"Below","",-1
7,12,15994,"-0.1042|6.3800|-2.8000","0.0500|6.4300|-2.8000","0.0500|6.3800|-2.8000",0.1542,0.0500,"Below","",-1
8,1,15995,"0.0500|6.3800|-2.8000","-0.1042|6.4300|-2.8000","-0.1042|6.3800|-2.8000",0.1542,0.0500,"Below","",-1
8,2,15996,"-0.1042|6.3800|-2.8000","-0.2583|6.4300|-2.8000","-0.2583|6.3800|-2.8000",0.1542,0.0500,"Below","",-1
8,3,15997,"-0.2583|6.3800|-2.8000","-0.4125|6.4300|-2.8000","-0.4125|6.3800|-2.8000",0.1542,0.0500,"Below","",-1
8,4,15998,"-0.4125|6.3800|-2.8000","-0.5667|6.4300|-2.8000","-0.5667|6.3800|-2.8000",0.1542,0.0500,"Below","",-1
8,5,15999,"-0.5667|6.3800|-2.8000","-0.7208|6.4300|-2.8000","-0.7208|6.3800|-2.8000",0.1542,0.0500,"Below","",-1
8,6,16000,"-0.7208|6.3800|-2.8000","-0.8750|6.4300|-2.8000","-0.8750|6.3800|-2.8000",0.1542,0.0500,"Below","",-1
8,7,16001,"-0.8750|6.3800|-2.8000","-1.0292|6.4300|-2.8000","-1.0292|6.3800|-2.8000",0.1542,0.0500,"Below","",-1
8,8,16002,"-1.0292|6.3800|-2.8000","-1.1833|6.4300|-2.8000","-1.1833|6.3800|-2.8000",0.1542,0.0500,"Below","",-1
8,9,16003,"-1.1833|6.3800|-2.8000","-1.3375|6.4300|-2.8000","-1.3375|6.3800|-2.8000",0.1542,0.0500,"Below","",-1
8,10,16004,"-1.3375|6.3800|-2.8000","-1.4917|6.4300|-2.8000","-1.4917|6.3800|-2.8000",0.1542,0.0500,"Below","",-1
8,11,16005,"-1.4917|6.3800|-2.8000","-1.6458|6.4300|-2.8000","-1.6458|6.3800|-2.8000",0.1542,0.0500,"Below","",-1
8,12,16006,"-1.6458|6.3800|-2.8000","-1.8000|6.4300|-2.8000","-1.8000|6.3800|-2.8000",0.1542,0.0500,"Below","",-1
9,1,16007,"-1.8000|6.3800|-2.8000","-1.8000|6.4300|-2.9500","-1.8000|6.3800|-2.9500",0.1500,0.0500,"Below","",-1
9,2,16008,"-1.8000|6.3800|-2.9500","-1.8000|6.4300|-3.1000","-1.8000|6.3800|-3.1000",0.1500,0.0500,"Below","",-1
9,3,16009,"-1.8000|6.3800|-3.1000","-1.8000|6.4300|-3.2500","-1.8000|6.3800|-3.2500",0.1500,0.0500,"Below","",-1
9,4,16010,"-1.8000|6.3800|-3.2500","-1.8000|6.4300|-3.4000","-1.8000|6.3800|-3.4000",0.1500,0.0500,"Below","",-1
9,5,16011,"-1.8000|6.3800|-3.4000","-1.8000|6.4300|-3.5500","-1.8000|6.3800|-3.5500",0.1500,0.0500,"Below","",-1
9,6,16012,"-1.8000|6.3800|-3.5500","-1.8000|6.4300|-3.7000","-1.8000|6.3800|-3.7000",0.1500,0.0500,"None","",-1
9,7,16013,"-1.8000|6.3800|-3.7000","-1.8000|6.4300|-3.8500","-1.8000|6.3817|-3.8500",0.1500,0.0483,"Below","",-1
9,8,16014,"-1.8000|6.3817|-3.8500","-1.8000|6.4300|-4.0000","-1.8000|6.3942|-4.0000",0.1500,0.0358,"Below","",-1
9,9,16015,"-1.8000|6.3942|-4.0000","-1.8000|6.4300|-4.1500","-1.8000|6.3969|-4.1500",0.1500,0.0331,"Below","",-1
9,10,16016,"-1.8000|6.3969|-4.1500","-1.8000|6.4300|-4.3000","-1.8000|6.3986|-4.3000",0.1500,0.0314,"Below","",-1
9,11,16017,"-1.8000|6.3986|-4.3000","-1.8000|6.4300|-4.4500","-1.8000|6.3991|-4.4500",0.1500,0.0309,"Below","",-1
9,12,16018,"-1.8000|6.3991|-4.4500","-1.8000|6.4300|-4.6000","-1.8000|6.3994|-4.6000",0.1500,0.0306,"Below","",-1
9,13,16019,"-1.8000|6.3994|-4.6000","-1.8000|6.4300|-4.7500","-1.8000|6.3996|-4.7500",0.1500,0.0304,"Below","",-1
9,14,16020,"-1.8000|6.3996|-4.7500","-1.8000|6.4300|-4.9000","-1.8000|6.3998|-4.9000",0.1500,0.0302,"6","V12_PROXY_Queens_Chamber_Entry_Wall_Lintel",16020
9,15,16021,"-1.8000|6.3998|-4.9000","-1.8000|6.4300|-5.0500","-1.8000|6.4000|-5.0500",0.1500,0.0300,"6","V12_PROXY_Queens_Chamber_Entry_Wall_Lintel",16021
10,1,16022,"-1.8000|6.4000|-5.0500","-1.6538|6.4315|-5.0720","-1.6538|6.4015|-5.0720",0.1479,0.0300,"6","V12_PROXY_Queens_Chamber_Entry_Wall_Lintel",16022
10,2,16023,"-1.6538|6.4015|-5.0720","-1.5075|6.4329|-5.0941","-1.5075|6.4029|-5.0941",0.1479,0.0300,"6","V12_PROXY_Queens_Chamber_Entry_Wall_Lintel",16023
10,3,16024,"-1.5075|6.4029|-5.0941","-1.3613|6.4344|-5.1161","-1.3613|6.4044|-5.1161",0.1479,0.0300,"6","V12_PROXY_Queens_Chamber_Entry_Wall_Lintel",16024
10,4,16025,"-1.3613|6.4044|-5.1161","-1.2151|6.4358|-5.1382","-1.2151|6.4059|-5.1382",0.1479,0.0300,"6","V12_PROXY_Queens_Chamber_Entry_Wall_Lintel",16025
10,5,16026,"-1.2151|6.4059|-5.1382","-1.0688|6.4373|-5.1602","-1.0688|6.4073|-5.1602",0.1479,0.0300,"6","V12_PROXY_Queens_Chamber_Entry_Wall_Lintel",16026
10,6,16027,"-1.0688|6.4073|-5.1602","-0.9226|6.4388|-5.1822","-0.9226|6.4088|-5.1822",0.1479,0.0300,"6","V12_PROXY_Queens_Chamber_Entry_Wall_Lintel",16027
